===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
181.00000E+0	-190.00000E-3	-4.64340E-3	40.91829E+0	0.00000E+0	0.00000E+0
182.00000E+0	-180.00000E-3	-4.64200E-3	38.77639E+0	0.00000E+0	0.00000E+0
183.00000E+0	-170.00000E-3	-4.64250E-3	36.61820E+0	0.00000E+0	0.00000E+0
184.00000E+0	-160.00000E-3	-4.63960E-3	34.48573E+0	0.00000E+0	0.00000E+0
185.00000E+0	-150.00000E-3	-4.64150E-3	32.31714E+0	0.00000E+0	0.00000E+0
186.00000E+0	-140.00000E-3	-4.63960E-3	30.17502E+0	0.00000E+0	0.00000E+0
187.00000E+0	-130.00000E-3	-4.63910E-3	28.02268E+0	0.00000E+0	0.00000E+0
188.00000E+0	-120.00000E-3	-4.63960E-3	25.86430E+0	0.00000E+0	0.00000E+0
189.00000E+0	-110.00000E-3	-4.63750E-3	23.71968E+0	0.00000E+0	0.00000E+0
190.00000E+0	-100.00000E-3	-4.63750E-3	21.56334E+0	0.00000E+0	0.00000E+0
191.00000E+0	-90.00000E-3	-4.63600E-3	19.41329E+0	0.00000E+0	0.00000E+0
192.00000E+0	-80.00000E-3	-4.63750E-3	17.25067E+0	0.00000E+0	0.00000E+0
193.00000E+0	-70.00000E-3	-4.63510E-3	15.10216E+0	0.00000E+0	0.00000E+0
194.00000E+0	-60.00000E-3	-4.63250E-3	12.95197E+0	0.00000E+0	0.00000E+0
195.00000E+0	-50.00000E-3	-4.63410E-3	10.78958E+0	0.00000E+0	0.00000E+0
196.00000E+0	-40.00000E-3	-4.63200E-3	8.63558E+0	0.00000E+0	0.00000E+0
197.00000E+0	-30.00000E-3	-4.63200E-3	6.47668E+0	0.00000E+0	0.00000E+0
198.00000E+0	-20.00000E-3	-4.63100E-3	4.31872E+0	0.00000E+0	0.00000E+0
199.00000E+0	-10.00000E-3	-4.63010E-3	2.15978E+0	0.00000E+0	0.00000E+0
200.00000E+0	0.00000E+0	-4.62700E-3	-0.00000E+0	0.00000E+0	0.00000E+0
201.00000E+0	10.00000E-3	-4.62460E-3	-2.16235E+0	0.00000E+0	0.00000E+0
202.00000E+0	20.00000E-3	-4.62510E-3	-4.32423E+0	0.00000E+0	0.00000E+0
203.00000E+0	30.00000E-3	-4.62050E-3	-6.49280E+0	0.00000E+0	0.00000E+0
204.00000E+0	40.00000E-3	-4.61960E-3	-8.65876E+0	0.00000E+0	0.00000E+0
205.00000E+0	50.00000E-3	-4.61600E-3	-10.83189E+0	0.00000E+0	0.00000E+0
206.00000E+0	60.00000E-3	-4.61460E-3	-13.00221E+0	0.00000E+0	0.00000E+0
207.00000E+0	70.00000E-3	-4.60910E-3	-15.18735E+0	0.00000E+0	0.00000E+0
208.00000E+0	80.00000E-3	-4.60550E-3	-17.37054E+0	0.00000E+0	0.00000E+0
209.00000E+0	90.00000E-3	-4.60240E-3	-19.55501E+0	0.00000E+0	0.00000E+0
210.00000E+0	100.00000E-3	-4.59690E-3	-21.75379E+0	0.00000E+0	0.00000E+0
211.00000E+0	110.00000E-3	-4.59240E-3	-23.95262E+0	0.00000E+0	0.00000E+0
212.00000E+0	120.00000E-3	-4.58690E-3	-26.16146E+0	0.00000E+0	0.00000E+0
