C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
-0.431603	-0.06639
-0.43361	-0.0665095
-0.435594	-0.0666258
-0.437618	-0.0666947
-0.439626	-0.0668341
-0.441625	-0.0669615
-0.443632	-0.0670761
-0.445632	-0.067135
-0.447635	-0.0672932
-0.449628	-0.0674129
-0.451619	-0.0675318
-0.453634	-0.0676462
-0.455614	-0.0677812
-0.457594	-0.0679045
-0.459592	-0.068008
-0.461579	-0.0681098
-0.463634	-0.0682339
-0.465655	-0.0683385
-0.467647	-0.068432
-0.469699	-0.0685858
-0.471659	-0.0686481
-0.473657	-0.0687355
-0.475644	-0.0689565
-0.477635	-0.0690777
-0.479657	-0.0692168
-0.481624	-0.0693048
-0.483586	-0.0694313
-0.485626	-0.0695285
-0.487613	-0.0696958
-0.489644	-0.0698009
-0.491652	-0.0699668
-0.493653	-0.0700888
-0.49566	-0.0701844
-0.497686	-0.0703367
-0.499244	-0.0703907
-0.499981	-0.0704636
-0.498818	-0.0703889
-0.496802	-0.0703069
-0.494823	-0.0701743
-0.492839	-0.070062
-0.490852	-0.069857
-0.48881	-0.0698067
-0.486783	-0.0696725
-0.484782	-0.0695185
-0.482807	-0.069384
-0.480778	-0.0693104
-0.478788	-0.0691721
-0.476806	-0.069035
-0.474802	-0.0689251
-0.472819	-0.0687996
-0.470797	-0.0686584
-0.468798	-0.0685381
-0.466865	-0.0684431
-0.464842	-0.0683033
-0.462804	-0.0681805
-0.460781	-0.0680586
-0.458796	-0.067941
-0.456753	-0.0678486
-0.454809	-0.0677104
-0.452763	-0.0676128
-0.450785	-0.0674957
-0.448818	-0.0673727
-0.446836	-0.0672274
-0.444798	-0.0671463
-0.442803	-0.0670146
-0.440816	-0.0669112
-0.43881	-0.0667795
-0.436802	-0.0666923
-0.434811	-0.0665901
-0.432731	-0.0664379
-0.430816	-0.0663611
-0.428835	-0.0662505
-0.426799	-0.0661427
-0.424769	-0.0660111
-0.422831	-0.0659084
-0.420813	-0.0658067
-0.418801	-0.0657052
-0.416833	-0.0655623
-0.414795	-0.0654638
-0.412835	-0.0653671
-0.41078	-0.0652196
-0.408833	-0.0651596
-0.406811	-0.0650169
-0.404792	-0.0649165
-0.402784	-0.064796
-0.400769	-0.0646943
-0.398796	-0.0645857
-0.396811	-0.0644835
-0.394839	-0.0643872
-0.392846	-0.0642533
-0.390859	-0.0641565
-0.388842	-0.0640425
-0.386862	-0.0639414
-0.384811	-0.0638505
-0.382818	-0.0637471
-0.380791	-0.0636517
-0.378766	-0.0635533
-0.376812	-0.0634585
-0.374775	-0.0633437
-0.37282	-0.0632585
-0.370857	-0.0631526
-0.368775	-0.0630791
-0.366813	-0.0629626
-0.36486	-0.0628892
-0.362834	-0.0627489
-0.360827	-0.0626541
-0.358819	-0.0625513
-0.356761	-0.0624767
-0.35479	-0.0623641
-0.352761	-0.0622524
-0.350778	-0.0621711
-0.348715	-0.0620917
-0.346822	-0.0620095
-0.344854	-0.0618711
-0.342793	-0.0618127
-0.340811	-0.0617032
-0.338798	-0.0615972
-0.336829	-0.0614933
-0.334832	-0.0613877
-0.332784	-0.0613082
-0.330818	-0.0612137
-0.328818	-0.061123
-0.326797	-0.0610363
-0.324809	-0.0609415
-0.322789	-0.0608152
-0.320803	-0.0607612
-0.318806	-0.0606713
-0.316801	-0.0605666
-0.314833	-0.0604807
-0.312824	-0.060387
-0.310833	-0.0602994
-0.308808	-0.0602045
-0.306817	-0.0601128
-0.304833	-0.0600197
-0.302794	-0.0599336
-0.300787	-0.0598179
-0.298865	-0.0597572
-0.296833	-0.0596833
-0.294841	-0.0596128
-0.292875	-0.0595098
-0.290838	-0.0594455
-0.288847	-0.059353
-0.286879	-0.0592454
-0.284855	-0.0591602
-0.282836	-0.0590225
-0.280828	-0.0589387
-0.27882	-0.0588633
-0.276857	-0.0588269
-0.274815	-0.0587336
-0.272805	-0.0586579
-0.270846	-0.0585553
-0.268845	-0.0584863
-0.26682	-0.0584111
-0.264814	-0.058323
-0.262825	-0.0582322
-0.260819	-0.0581613
-0.258806	-0.0580865
-0.256804	-0.05797
-0.254809	-0.0579366
-0.252815	-0.0578407
-0.250808	-0.0577592
-0.248858	-0.0576754
-0.246817	-0.057618
-0.244853	-0.0575222
-0.242848	-0.0574514
-0.240812	-0.0573598
-0.238833	-0.0572772
-0.236854	-0.0572109
-0.234881	-0.0571047
-0.232874	-0.0570366
-0.230807	-0.0569633
-0.228826	-0.0568979
-0.226843	-0.0568089
-0.224824	-0.0567321
-0.222814	-0.0566509
-0.220795	-0.0565652
-0.218794	-0.0564902
-0.216856	-0.0564311
-0.214831	-0.0563535
-0.212869	-0.0562552
-0.210852	-0.0562047
-0.20881	-0.0561172
-0.206841	-0.0560549
-0.204861	-0.0559703
-0.202828	-0.0559024
-0.200848	-0.0558121
-0.198855	-0.0557333
-0.196858	-0.0556601
-0.194818	-0.0555909
-0.192865	-0.0555257
-0.190888	-0.0554209
-0.188896	-0.0553729
-0.186876	-0.0552971
-0.184917	-0.0552118
-0.182888	-0.0551328
